63, 87, 70, 93, 71, 84
82, 42, -74, 61, 63, -75
16, 77, -45, 11, 65, -54
-91, 74, -5, -88, 88, -51
-64, -47, -98, -75, -5, -22
37, -13, -66, 69, -37, -88
91, -84, 51, 88, -90, 75
-79, -20, 38, -59, -11, 55
49, 98, -10, 62, 97, -28
17, -83, -36, 55, -88, -12
69, -37, -88, 70, -81, -92
70, -81, -92, 69, -37, -88
43, 64, 22, 45, 67, 2
21, 97, 53, 63, 87, 70
-11, 33, 13, -22, 15, 22
-22, 15, 22, -7, 8, 34
61, 63, -75, 82, 42, -74
94, 100, -27, 62, 97, -28
62, 97, -28, 49, 98, -10
88, -90, 75, 91, -84, 51
99, -49, 96, 88, -90, 75
0, 79, -6, 6, 72, 10
11, 65, -54, 16, 77, -45
-7, 8, 34, -22, 15, 22
-75, -5, -22, -60, -13, -2
83, 9, 3, 100, 8, 10
6, 72, 10, 0, 79, -6
-71, 33, 31, -56, 31, 4
-16, -12, 76, 0, 0, 68
-88, 88, -51, -81, 93, -95
45, 67, 2, 43, 64, 22
11, -93, 49, -22, -40, 38
18, 54, 13, 6, 72, 10
-22, -40, 38, -54, -17, 53
55, -88, -12, 77, -79, 6
-36, 46, -74, 11, 65, -54
-35, -44, 89, -16, -12, 76
-60, -13, -2, -75, -5, -22
81, 26, 23, 83, 9, 3
-59, -11, 55, -54, -17, 53
21, 38, 62, 0, 0, 68
-56, 31, 4, -71, 33, 31
93, 71, 84, 63, 87, 70
-81, 93, -95, -88, 88, -51
-54, -17, 53, -59, -11, 55
77, -79, 6, 55, -88, -12
-98, 87, 44, -91, 74, -5
100, 8, 10, 83, 9, 3
-59, -89, 0, -22, -40, 38
