-8, -46, -40, -54
25, -56, 18, -57
0, 92, -9, 74
23, 45, 9, 42
-96, -4, -98, -30
-9, 74, -18, 52
-31, 43, -67, 36
7, 15, 0, 0
7, 6, 7, 15
23, -20, 13, 2
87, 20, 56, 9
-22, -22, -24, -26
56, 9, 87, 20
-45, -53, -63, -47
-63, -47, -66, -54
-24, -26, -22, -22
13, 2, 7, 6
-98, -30, -96, -4
-40, -54, -45, -53
-39, -70, -40, -54
82, -77, 73, -87
-18, 52, -31, 43
3, -51, 25, -56
73, -100, 82, -77
-91, 28, -71, 16
86, -57, 82, -77
-86, -53, -63, -47
68, -25, 58, -31
27, 68, 25, 58
25, 58, 23, 48
-14, -89, -39, -70
87, -7, 68, -25
18, -57, 25, -56
7, 27, 7, 15
6, 72, 0, 92
9, 42, 23, 45
-67, 36, -91, 28
29, 23, 7, 27
-9, 18, 0, 0
23, 48, 23, 45
-71, 16, -91, 28
-25, 86, -9, 74
73, -87, 73, -100
-66, -54, -63, -47
-94, -32, -96, -4
96, 85, 27, 68
58, -31, 68, -25
-56, 94, -25, 86
93, -30, 68, -25
