-8, -46, -40, -54
25, -56, 18, -57
0, 92, -9, 74
23, 45, 23, 48
-96, -4, -24, -26
-9, 74, 0, 92
-31, 43, -67, 36
7, 15, 7, 6
7, 6, 7, 15
23, -20, 0, 0
87, 20, 87, -7
-22, -22, -24, -26
56, 9, 87, 20
-45, -53, -63, -47
-63, -47, -66, -54
-24, -26, -22, -22
13, 2, 7, 6
-98, -30, -96, -4
-40, -54, -45, -53
-39, -70, -40, -54
82, -77, 73, -87
-18, 52, -31, 43
3, -51, 25, -56
73, -100, 82, -77
-91, 28, -96, -4
86, -57, 82, -77
-86, -53, -63, -47
68, -25, 58, -31
27, 68, 25, 58
25, 58, 27, 68
-14, -89, -39, -70
87, -7, 68, -25
18, -57, 25, -56
7, 27, 7, 15
6, 72, 23, 45
9, 42, 23, 45
-67, 36, -71, 16
29, 23, 23, 45
-9, 18, 0, 0
23, 48, 23, 45
-71, 16, -67, 36
-25, 86, -9, 74
73, -87, 73, -100
-66, -54, -63, -47
-94, -32, -98, -30
96, 85, 87, 20
58, -31, 68, -25
-56, 94, -25, 86
93, -30, 68, -25
